"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Antigua and Barbuda","ATG","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44255.97166946","","","","","","",
"Austria","AUT","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","15969.3355751642","16634.900893488","17594.898085457","18535.4576729988","18894.4545235543","18946.8688198462","19818.0357898036","20728.902722325","20832.3973186607","21917.9716417326","22090.0842887588","21857.6632495611","22272.5740695851","23117.596519726","23150.7241460016","23643.9396889015","24260.8152954762","24703.1576943661","25727.0588099792","26605.8744894897","27463.3844517465","28060.8633195893","28353.4349080818","28059.8753975811","28592.611232356","29168.3439154846","29768.1333807856","30195.248290851","31167.4975055944","31724.9156684376","32660.8043039281","32787.3727792552","33239.3015458244","33471.5982390631","34225.9396078328","34693.9984960591","35998.4808217968","37014.9319647039","37435.0671135771","35436.2765141729","36108.3257703126","36591.9807954448","36306.6572930273","35953.011854514","36019.7802074752","35787.4316807747","36773.9945207289","36515.1654678596","37158.2123540999","37612.5870919268","34445.9301115512","",
"Azerbaijan","AZE","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4460.40822891429","","","","","","",
"Burundi","BDI","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149.804737937478","144.615779782142","172.55302347235","171.534852552036","154.657568542534","144.157539057317","98.4171423972573","123.575926489332","139.575528019759","157.063117185591","136.311050414228","138.92528384054","144.544023237491","169.170515227119","163.668861932333","188.04567300429","197.22443689516","199.155598015418","219.192179868689","202.124823331188","192.613159145015","201.478446549656","204.238547129546","205.540218319657","",
"Belgium","BEL","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","16227.9158956998","16734.8531906516","17740.3014235462","18892.6043492658","19149.8878160367","18865.7508580027","19903.9235858835","19898.0407527364","20443.2702483772","20875.9984955583","20681.112942614","20170.8533713092","20105.8686881999","20271.3839790527","20918.1063531004","21522.2875855866","22497.4500548929","23224.8998843102","24554.9813176068","25418.3635063275","25981.1437082159","26444.9291588351","26927.3194343395","27052.2427696913","28133.6084942631","28509.8693012721","28659.0857136861","29581.1201953673","30101.7294961416","30706.7866645594","31374.5883069547","31356.0363669959","31739.9326554949","31688.0849578863","32391.1322892458","32613.217072609","33016.5402601328","33933.6570435378","33121.7381160056","32354.8121634","32613.6847125559","31740.5356412872","32684.7220176429","32777.3202427086","33177.8909994614","33820.5935039625","34132.2861957357","34379.5221518719","34703.2678714218","35461.2910190165","32833.0820865159","",
"Benin","BEN","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","707.096280827872","733.145729836381","746.030730316996","724.968572733821","657.813734605424","637.397580111675","623.658365641478","631.760669429176","687.536054686862","726.240545785615","743.807312265481","688.681444704846","639.587325179417","652.854538374032","695.153871567801","669.999766300791","637.096086289485","647.83460140238","589.054218110451","629.610607381224","642.424127007428","597.167596040622","629.638571354547","551.220815569221","565.407923957325","581.511458085548","606.253051095968","612.997872321418","658.508457365961","695.291471691084","725.282819738799","761.809609633437","776.82913196532","803.544699248608","784.942495155374","791.892884359066","812.411888216526","831.406988100686","827.011673815707","819.772595451184","835.355391974146","863.367579472536","923.616020764191","954.581833668338","958.778028892313","974.493865291284","982.987057195082","1016.6160990973","1068.18756806921","1071.2386520484","",
"Burkina Faso","BFA","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","332.738436904892","337.724586028856","356.242389474341","346.673426210812","333.617134284791","328.962240373603","351.983645692961","340.501837323302","351.45781715689","343.289343762559","335.17098617336","350.117729750296","342.128700538501","342.527435935011","309.302098296445","325.502424964929","350.566234287781","357.716381726085","378.772502693793","380.142830889779","383.559107973342","397.080897263197","401.858023879649","419.846385559332","426.765916334852","444.451467372027","455.704216416434","459.117171088923","467.45031770769","463.889137974373","486.872080168316","501.161957516904","546.475480494012","548.321432339526","549.330569291812","563.20558063845","593.380461822598","613.749793700672","642.387037409977","685.535125036791","","",
"Bangladesh","BGD","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","528.364562927544","514.474298788105","480.634616247684","473.850903070409","450.19599895939","477.453988712029","493.310454699055","489.885257216819","534.263182364351","508.964461902672","507.622106966913","506.009097035739","538.553178223012","545.220567819198","550.440196318943","550.231520213668","550.216297642754","574.462245420049","553.49359660457","559.203324290656","563.815664642085","580.927391525603","590.000109976483","594.136731867281","594.068380787544","606.926798353097","621.354983629038","644.272825086117","662.882714842556","675.50462966016","691.562804997746","733.457137915928","770.096440662046","820.090028291816","869.719530746991","905.167736725139","944.348243124665","991.659952621015","1031.1122576091","1082.9128969822","1127.9363554468","1158.40602082692","1219.15094526725","1087.43578304239","1141.35958357587","1236.46154372997","1410.1545899287","1465.7014125597","",
"Bulgaria","BGR","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","2382.97862336917","2648.47917819535","2769.56161850912","2874.35503059936","3014.48018073046","3008.71137163188","3017.5767656589","3214.06758578799","3354.62660695812","3198.72462397462","3159.65010710758","2631.2376636897","2623.2473003092","2487.5505056321","2629.58145306989","3653.3870749425","3596.563589118","2802.51114835762","2906.85166840438","2696.40951940851","2812.97032774622","3081.17369211238","3407.15291710789","3596.7946308091","3896.7934276996","4100.84780432546","4356.71341814471","4521.80407493424","5066.6069415875","5062.94423514317","5166.08759283668","5398.7758150487","5547.16430346195","5502.23806180443","5662.54240916418","5820.57012888425","6166.58902876541","6467.64181676211","6638.97018825746","7126.6199912577","7103.04294162607","",
